ID,label,calories,fat,protein,carbohydrate,sugar,potassium
209,matai,97.000,4.800,0.100,0.000,3.000,1.400
210,chenin,80.000,0.000,0.000,0.000,0.000,0.070
211,abbott,233.811,22.394,11.602,205.000,0.700,66.670
212,arizona,38.000,4.815,0.050,0.000,0.000,0.250
213,fava,144.000,3.710,0.656,0.000,9.400,10.942
214,free,170.990,55.670,33.500,82.000,19.600,40.000
215,commercially,356.386,17.801,14.231,117.000,2.193,5.628
216,masterpiece,160.000,30.950,0.520,0.000,1.400,1.000
217,splasher,31.000,6.120,0.000,0.000,0.000,0.000
218,kit,220.000,6.830,0.980,5.000,2.000,9.760
219,muller,76.000,0.000,0.000,0.000,0.000,0.070
220,brazilnut,659.000,2.330,67.100,0.000,7.500,14.320
221,tabasco,12.000,0.130,0.760,0.000,0.600,1.290
222,raisin,363.244,26.161,8.687,114.000,6.311,7.013
223,loui,133.778,1.161,6.000,56.556,0.500,16.383
224,soda,195.818,13.300,11.800,18.000,3.300,9.500
225,deboned,228.750,0.000,19.038,118.000,0.000,13.297
226,stripe,487.000,35.843,21.914,0.571,2.986,4.386
227,separable,209.366,4.690,11.986,78.349,0.300,24.245
228,industrial,736.630,1.120,72.770,56.000,2.400,15.330
229,tilapia,112.000,0.000,2.175,53.500,0.000,23.115
230,grade,208.264,0.000,11.593,77.728,0.000,25.012
231,unsugared,434.000,18.150,24.930,10.000,1.700,5.310
232,veggie,150.200,1.837,5.065,5.000,3.813,12.753
233,nonnutritive,170.000,0.945,0.300,0.000,0.000,1.660
234,wash,329.500,10.000,0.460,0.000,5.500,60.880
235,tzatziki,223.000,2.700,6.600,10.000,5.900,11.100
236,kfc,256.909,13.540,15.328,91.682,2.000,20.226
237,calorie,310.257,17.572,13.042,71.000,38.500,55.300
238,buttermargarine,718.000,0.000,80.700,88.000,0.000,0.900
239,confectionery,884.000,0.000,100.000,0.000,0.000,0.000
240,whatchamacallit,494.000,48.860,23.680,12.000,1.900,8.040
241,spinach,382.000,2.720,12.950,118.000,2.531,4.698
242,gooseberry,58.500,0.000,0.390,0.000,3.350,0.765
243,top,27.000,3.910,0.470,0.000,1.800,0.970
244,zinfandel,88.000,0.000,0.000,0.000,0.000,0.070
245,approximately,231.364,0.000,19.215,32.091,1.300,13.132
246,intermediate,884.000,0.000,100.000,0.000,0.000,0.000
247,ton,40.000,0.790,0.790,4.000,0.000,2.380
248,dee,515.000,35.800,26.000,0.000,2.000,3.900
249,tangy,167.000,21.880,5.770,0.000,2.700,1.320
250,krave,398.333,34.567,11.063,0.667,9.967,7.133
251,tunicate,67.000,0.000,2.200,0.000,0.000,11.700
252,bitter,25.167,0.997,0.270,0.000,1.767,2.530
253,glucose,426.000,0.000,43.950,2017.000,0.000,73.030
254,kiwi,16.500,4.125,0.000,0.000,0.000,0.000
255,danish,331.455,37.900,17.305,31.364,1.845,5.184
256,paso,129.000,1.300,8.430,5.000,0.600,2.700
257,stuffed,293.375,38.500,12.457,24.250,2.038,10.480
258,crispix,369.000,11.600,1.100,0.000,2.800,5.700
259,luncheon,225.000,4.600,16.479,58.786,0.500,15.610
260,serve,208.300,10.124,37.630,29.300,6.000,8.190
261,lower,226.286,37.500,17.910,51.000,1.800,4.084
262,lowmoisture,245.364,81.130,24.640,89.000,12.400,24.580
263,chex,389.000,17.594,4.880,0.000,4.550,6.590
264,cereal,328.089,18.813,4.028,94.000,7.216,8.019
