ID,label,calories,fat,protein,carbohydrate,sugar,potassium
922,monkfish,86.500,0.000,1.735,28.500,0.000,16.520
923,porterhouse,223.167,0.000,13.169,71.389,0.000,24.461
924,mcgriddle,289.000,9.563,16.227,101.000,0.800,10.403
925,monster,23.500,6.315,0.000,0.000,0.000,0.000
926,carp,144.500,0.000,6.385,75.000,0.000,20.345
927,romano,387.000,0.730,26.940,104.000,0.000,31.800
928,crackedwheat,260.000,0.000,3.900,0.000,5.500,8.700
929,california,127.875,1.800,15.410,1.000,7.550,24.370
930,carl,151.667,0.000,8.050,60.333,0.000,18.683
931,powerade,16.000,3.055,0.025,0.000,0.000,0.000
932,passionfruit,69.333,12.950,0.310,0.000,10.400,1.087
933,octopu,100.667,0.000,1.307,61.667,0.000,19.010
934,gerolsteiner,0.000,0.000,0.000,0.000,0.000,0.000
935,advance,215.900,20.300,11.744,14.000,0.000,5.194
936,unfrosted,342.000,0.400,2.000,0.000,13.800,11.600
937,cornbased,533.500,4.830,31.679,7.000,2.775,6.485
938,granule,249.833,14.470,5.037,5.667,3.267,7.008
939,ostrich,135.944,0.000,3.452,78.444,0.000,24.553
940,cocada,500.000,27.800,25.100,11.000,3.000,5.700
941,crusty,243.000,5.060,2.880,0.000,2.600,8.590
942,pepperoni,292.545,2.875,13.976,32.500,2.095,13.887
943,backrib,235.750,0.000,16.332,75.750,0.000,21.770
944,malabar,23.000,0.000,0.780,0.000,2.100,2.980
945,hohoysi,2.000,0.000,0.200,0.000,0.000,0.120
946,blood,379.000,1.290,34.500,120.000,0.000,14.600
947,cheese,267.149,24.900,14.894,44.100,10.700,13.309
948,pillsbury,328.571,18.373,10.697,6.000,1.429,5.713
949,nestea,36.000,9.090,0.000,0.000,0.000,0.000
950,nutritional,153.600,5.586,4.638,2.200,2.200,53.570
951,linkett,209.000,0.300,11.800,0.000,3.000,21.300
952,parsnip,72.333,4.800,0.300,0.000,4.167,1.280
953,spanish,303.444,3.830,49.600,76.000,3.833,15.962
954,rind,364.000,12.695,9.100,221.000,1.000,10.600
955,ring,344.333,4.100,20.487,62.000,2.189,5.150
956,cheesy,299.500,2.430,11.345,5.000,1.775,6.755
957,cassava,337.500,2.530,13.095,0.000,2.750,1.350
958,sheep,108.000,0.000,7.000,27.000,0.000,5.980
959,little,309.154,34.000,15.755,27.462,10.900,12.522
960,christma,397.000,44.310,4.830,0.000,2.600,4.440
961,hummu,171.500,0.135,9.095,0.000,5.000,6.380
962,bite,432.488,33.773,13.831,19.000,5.179,6.130
963,circu,507.750,43.975,25.325,1.000,0.800,3.800
964,starfruit,31.000,3.980,0.330,0.000,2.800,1.040
965,strawberryflavor,238.500,47.725,1.650,6.000,0.000,1.550
966,masala,134.500,3.150,3.390,4.000,4.300,6.750
967,dosido,478.000,31.100,21.400,0.000,3.700,8.100
968,lingcod,174.250,0.000,42.000,67.000,0.000,15.950
969,friend,299.000,18.800,3.200,0.000,21.700,9.400
970,nutrition,230.758,23.180,12.532,17.000,0.700,5.486
971,breakstone,121.500,6.800,6.650,29.500,0.050,4.600
972,pearled,237.500,0.540,0.800,0.000,9.700,6.085
973,citronella,99.000,0.000,0.490,0.000,0.000,1.820
974,vermicelli,260.000,17.440,2.059,1.000,1.400,5.773
975,horchata,233.500,24.130,4.085,0.000,2.000,3.990
976,pompano,187.500,0.000,10.805,57.000,0.000,21.085
977,hut,286.235,2.895,12.766,26.235,2.053,12.308
978,applecranberry,46.000,6.880,0.020,0.000,0.000,0.000
979,epazote,32.000,0.000,0.520,0.000,3.800,0.330
980,butt,204.600,0.000,11.804,78.200,0.000,23.341
981,simmered,191.172,0.000,10.111,3100.000,0.000,23.342
982,thai,36.000,3.700,1.060,0.000,1.000,0.800
983,kabob,181.000,0.000,7.137,87.667,0.000,27.327
984,cervelat,335.500,0.975,28.715,77.000,0.000,16.025
985,knackwurst,307.000,0.000,27.700,60.000,0.000,11.100
986,iceberg,14.000,1.970,0.140,0.000,1.200,0.900
987,orchard,33.000,7.820,0.000,0.000,0.000,0.000
988,cockle,79.000,0.000,0.700,0.000,0.000,13.500
989,sabrosa,484.000,9.370,20.370,0.000,2.400,7.010
990,sugarapple,94.000,0.000,0.290,0.000,4.400,2.060
991,magnesium,65.500,0.650,3.930,0.000,0.550,7.370
992,fruity,397.000,38.725,3.758,0.500,2.550,4.825
993,coconut,409.698,80.540,30.042,35.000,16.300,3.163
994,unsweetened,642.000,43.600,52.310,2.000,37.000,85.600
995,sam,346.000,1.560,11.600,0.000,20.300,15.980
996,hershey,435.000,32.780,24.222,7.889,20.000,8.908
997,dash,490.000,7.300,22.400,0.000,2.100,6.800
998,chikn,152.429,2.341,4.999,3.000,3.486,9.786
999,pastry,408.863,24.241,15.811,114.000,1.704,4.689
1000,breakfast,270.152,92.310,11.930,173.000,33.900,12.587
1001,marathon,390.000,28.715,11.075,3.500,7.667,22.423
1002,isolate,336.000,1.160,1.403,12.000,3.300,76.960
1003,mckee,548.000,34.000,32.800,0.000,0.000,8.000
1004,squab,195.750,0.000,12.205,97.750,0.000,20.407
1005,dipp,480.000,37.610,20.420,0.000,3.200,7.520
1006,performance,220.500,16.995,6.250,3.000,6.250,12.500
1007,crimini,22.000,1.720,0.100,0.000,0.600,2.500
1008,mayer,231.933,1.940,18.164,66.756,0.300,13.787
1009,channel,138.400,0.000,6.426,64.400,0.700,17.322
1010,pasteurized,259.852,4.335,17.982,991.000,0.300,17.383
1011,trefoil,498.000,20.700,22.900,1.000,1.600,5.700
1012,cheesecake,402.000,22.175,21.975,55.000,2.400,4.900
1013,boiling,71.000,0.275,1.223,0.000,1.550,2.258
1014,mutton,364.143,2.750,100.000,56.571,2.400,33.430
1015,microwaved,162.667,4.820,41.660,153.000,2.205,39.010
1016,sauteed,130.667,2.150,11.800,0.000,1.767,0.923
1017,salmonberry,47.000,3.660,0.330,0.000,1.900,0.850
1018,spirulina,158.000,1.700,4.055,0.000,2.000,31.695
1019,margarinelike,429.759,16.700,47.453,88.000,0.000,2.000
1020,seafood,91.000,0.000,5.000,12.000,0.000,3.940
1021,choplet,103.000,0.400,1.000,0.000,2.800,19.400
1022,liverwurst,315.500,0.825,26.975,138.000,1.250,13.240
1023,macaroon,490.667,38.573,26.400,3.000,4.767,4.047
1024,chitterling,207.500,0.000,18.465,215.500,0.000,10.065
1025,link,276.875,3.000,22.311,61.833,4.200,16.140
1026,turmeric,312.000,3.210,3.250,0.000,22.700,9.680
1027,salt,748.000,28.450,81.110,219.000,3.271,35.220
1028,perch,95.750,0.000,1.377,80.000,0.000,19.517
1029,glandles,391.000,0.000,36.290,0.000,5.500,43.120
1030,familia,388.000,23.200,6.300,0.000,8.500,9.500
1031,javaplum,60.000,0.000,0.230,0.000,0.000,0.720
1032,german,350.000,42.130,3.240,0.000,2.100,4.170
1033,azumaya,70.333,0.367,3.733,0.000,0.567,7.300
1034,recipe,316.971,64.300,15.897,196.000,6.700,8.552
1035,mince,289.000,28.310,10.800,0.000,2.600,2.600
1036,corned,203.375,2.100,11.845,49.250,1.500,17.174
1037,diglyceride,884.000,0.000,100.000,0.000,0.000,0.000
1038,russian,248.000,19.775,15.090,3.000,0.500,0.595
1039,ground,223.636,6.790,12.831,68.873,53.100,21.549
1040,snack,447.415,68.650,17.665,133.000,4.584,8.557
1041,dice,50.400,6.834,0.280,0.000,1.620,3.900
1042,nectarine,44.000,7.890,0.320,0.000,1.700,1.060
1043,gourd,258.000,5.170,0.240,0.000,2.323,8.580
1044,treasure,412.333,36.263,11.433,6.000,4.867,5.567
1045,cheeseburger,278.833,3.613,14.631,42.542,1.092,14.852
1046,osso,169.500,0.000,6.140,92.000,0.000,28.530
1047,enriched,305.957,48.950,32.700,117.000,2.704,8.119
1048,sprout,40.000,1.640,0.415,0.000,3.500,3.257
1049,thompson,61.667,14.743,0.123,0.000,0.700,0.567
1050,brotwurst,323.000,2.980,27.800,63.000,0.000,14.300
1051,pumpkin,574.000,28.600,49.050,86.000,18.400,30.230
1052,pastrami,130.500,3.340,4.923,62.000,0.100,19.325
1053,touch,342.333,17.600,1.733,0.000,10.667,8.900
1054,jellybean,375.000,70.000,0.050,0.000,0.200,0.000
1055,readytodrink,57.176,6.426,5.380,8.000,1.600,6.590
1056,shortbread,501.933,18.157,26.301,45.000,14.900,5.605
1057,gruyere,413.000,0.360,32.340,110.000,0.000,29.810
1058,mung,351.000,2.417,1.150,0.000,16.300,23.860
1059,truly,360.000,14.800,5.300,1.000,18.500,22.290
1060,mandarin,47.250,10.797,0.120,0.000,1.100,0.658
1061,blackfish,82.000,0.000,1.750,0.000,0.000,15.500
1062,murray,465.394,16.942,21.467,12.000,4.858,5.724
1063,canadianstyle,185.000,0.000,8.440,58.000,0.000,24.240
1064,cornnut,441.000,0.305,14.970,0.000,7.650,8.750
1065,applebee,244.455,9.330,12.898,35.455,1.845,12.035
1066,prime,312.800,0.300,24.314,70.350,2.600,21.399
1067,aluminum,53.000,0.000,0.000,0.000,0.200,0.000
1068,leather,367.667,35.580,3.060,0.000,3.500,1.000
1069,cumin,375.000,2.250,22.270,0.000,10.500,17.810
1070,morning,379.500,25.700,4.350,0.000,5.900,7.100
1071,naked,257.286,20.793,21.400,0.000,4.171,4.739
1072,cheshire,387.000,0.000,30.600,103.000,0.000,23.370
1073,bison,155.467,0.000,5.689,74.133,0.000,24.579
1074,turbot,108.500,0.000,3.365,55.000,0.000,18.315
1075,unblanched,626.500,1.165,58.500,0.000,10.600,16.245
1076,tallow,897.667,0.000,99.530,104.000,0.000,0.000
1077,tamari,60.000,1.700,0.100,0.000,0.800,10.510
1078,tortilla,358.000,1.273,100.000,11.000,3.815,7.236
1079,fruitflavored,150.000,0.000,0.160,0.000,2.200,0.233
1080,kernel,455.592,9.090,41.806,0.000,4.639,32.590
1081,unroasted,607.000,0.000,56.440,0.000,9.300,17.950
1082,picnic,285.364,0.000,22.219,71.364,0.000,19.488
1083,sucralose,374.000,57.680,0.000,0.000,0.000,0.000
1084,burst,384.250,31.892,4.043,0.000,6.400,6.295
1085,pancrea,218.500,0.000,14.060,226.000,0.000,21.454
1086,lotu,125.400,0.500,1.970,0.000,2.220,15.410
1087,peppermint,227.000,31.890,4.055,0.500,5.000,2.970
1088,seam,546.400,0.000,56.456,84.200,0.000,8.886
1089,seal,368.800,0.000,99.600,121.000,0.500,28.158
1090,pebble,399.500,35.100,4.050,0.000,1.200,4.700
1091,wonder,273.000,11.060,4.150,0.000,2.600,8.070
1092,honeydew,36.000,8.120,0.140,0.000,0.800,0.540
1093,crystal,0.000,0.000,0.000,0.000,0.000,0.000
1094,glaze,350.000,72.370,3.850,9.500,0.550,0.930
1095,malted,197.500,24.898,4.610,11.333,4.800,5.597
1096,outside,206.833,0.000,12.054,79.500,0.000,23.690
1097,chewy,407.889,32.756,11.738,6.000,6.733,9.842
1098,cookedroasted,255.000,0.000,17.650,84.000,0.000,24.150
1099,herbal,1.000,0.000,0.100,0.000,0.000,0.060
1100,whipped,458.714,23.600,46.704,219.000,0.400,1.564
1101,edamame,116.000,2.330,4.965,0.000,5.000,10.565
1102,smoothy,38.333,7.340,0.000,0.000,0.400,1.220
1103,cantaloupe,34.000,7.860,0.190,0.000,0.900,0.840
1104,mature,168.609,10.700,25.400,143.000,7.840,11.589
1105,ju,313.000,0.000,9.630,4.000,0.000,4.030
1106,muskrat,198.000,0.000,9.920,60.500,0.000,25.425
1107,concentrate,120.741,15.754,7.160,8.000,5.500,63.630
1108,preparedfromrecipe,323.455,48.014,33.760,140.000,3.500,2.588
1109,analyzed,262.000,0.000,12.105,52.500,1.000,19.405
1110,oilroasted,586.250,4.180,50.350,0.000,9.025,27.238
1111,concentrated,287.000,24.530,0.010,0.000,0.000,0.080
1112,chocolatecoated,482.400,37.846,25.930,19.000,2.960,4.926
1113,crisped,431.000,0.000,16.950,0.000,2.900,6.050
1114,berry,295.077,23.642,31.800,10.000,18.900,5.183
1115,flipper,271.000,0.000,21.700,0.000,0.000,19.000
1116,duty,889.333,0.000,100.000,100.000,0.000,0.000
1117,lemongras,74.000,3.300,1.930,1.000,2.250,3.800
1118,twix,529.333,45.793,30.273,6.333,2.400,7.130
1119,merry,528.000,44.300,27.700,0.000,1.400,2.900
1120,pot,210.545,38.460,11.090,80.909,3.800,24.240
1121,pop,293.700,23.635,7.133,3.000,8.400,3.693
1122,toasty,447.333,20.710,14.653,0.000,3.833,9.910
1123,boar,141.000,0.000,3.855,38.500,0.000,24.905
1124,pod,35.000,9.210,0.258,0.000,2.773,2.389
1125,fruitful,318.000,14.600,1.300,0.000,10.500,10.700
1126,tub,518.882,16.700,57.310,71.000,0.000,2.000
1127,turkey,172.701,7.600,99.800,933.000,4.100,18.709
1128,uncreamed,72.000,1.850,0.290,7.000,0.000,10.340
1129,camembert,300.000,0.460,24.260,72.000,0.000,19.800
1130,west,32.000,0.000,0.300,0.000,1.100,0.400
1131,layer,307.000,5.880,13.240,0.000,1.200,5.880
1132,shortening,855.727,0.000,96.112,100.000,0.000,9.000
1133,tropical,442.000,75.760,17.100,0.000,1.300,6.300
1134,cracklin,395.000,28.000,14.100,0.000,12.700,9.200
1135,antifoaming,884.000,0.000,100.000,0.000,0.000,0.000
1136,worcestershire,78.000,10.030,0.000,0.000,0.000,0.000
1137,ravioli,119.700,3.645,3.609,13.300,1.360,5.043
1138,reducedcalorie,219.000,32.800,33.300,0.000,7.256,7.269
1139,chalet,478.000,35.400,19.100,0.000,1.500,4.200
1140,sesbania,23.333,0.000,0.047,0.000,0.000,1.187
1141,thousand,235.333,16.440,15.943,14.000,1.767,0.823
1142,formed,359.500,4.500,26.300,59.500,0.900,24.850
1143,sablefish,234.000,0.000,18.353,58.667,0.000,16.083
1144,squash,574.000,1.950,49.050,43.000,18.400,30.230
1145,redeye,342.000,0.710,1.580,0.000,4.600,9.830
1146,waxgourd,12.667,0.787,0.200,0.000,1.633,0.400
1147,arrowroot,323.000,23.300,13.800,0.000,1.500,4.760
1148,stovetop,56.000,0.070,0.310,0.000,0.550,1.545
1149,external,557.400,0.000,57.506,81.000,0.000,9.506
1150,drum,127.800,0.000,3.046,76.400,0.000,23.542
1151,pattie,262.750,63.780,7.665,2.000,4.325,15.397
1152,standard,489.200,6.816,23.042,2.000,2.600,8.420
1153,crumb,386.333,42.520,11.579,49.000,2.611,8.057
1154,scup,120.000,0.000,3.115,59.500,0.000,21.545
1155,seedling,104.000,0.000,1.100,0.000,0.000,7.300
1156,spiderman,498.000,33.800,23.600,1.000,1.900,4.100
1157,fin,46.000,0.000,2.000,2.000,0.000,3.200
1158,single,185.051,10.590,8.419,23.872,6.000,10.130
1159,premature,66.500,7.213,3.340,0.000,0.000,1.970
1160,gamesa,484.000,9.370,20.370,0.000,2.400,7.010
1161,mound,486.000,46.190,26.600,2.000,3.700,4.600
1162,michelob,27.000,0.000,0.000,0.000,0.000,0.170
1163,sorghum,333.750,74.900,2.010,0.000,3.800,7.145
1164,parboiled,248.500,0.220,0.700,0.000,1.350,5.210
1165,alcoholic,131.234,41.600,15.700,58.000,0.300,2.800
1166,parmigiana,211.000,2.680,11.230,40.000,0.900,15.330
1167,lesuer,68.000,2.990,0.800,0.000,4.900,4.470
1168,intermuscular,599.500,0.000,62.992,87.000,0.000,7.008
1169,ribeye,181.895,0.000,9.017,71.526,0.000,24.490
1170,middle,464.000,29.843,20.014,14.000,5.186,6.057
1171,sterol,605.000,0.000,70.950,23.000,0.000,0.130
1172,minestrone,52.500,2.062,0.899,4.000,1.888,2.282
1173,spooner,369.000,18.165,1.995,0.000,10.400,9.100
1174,beaver,179.000,0.000,5.880,58.500,0.000,29.450
1175,protein,266.237,40.480,21.860,205.000,37.500,25.917
1176,macadamia,699.750,3.213,72.558,0.000,7.450,9.150
1177,paratha,326.000,4.150,13.200,1.000,9.600,6.360
1178,candied,243.000,53.965,1.805,4.500,1.850,0.615
1179,succotash,93.000,2.210,0.790,0.000,3.263,4.168
1180,par,269.000,5.100,14.052,0.000,2.980,3.422
1181,pat,272.000,20.580,8.060,9.000,0.900,4.050
1182,buddig,153.800,0.000,8.360,59.400,0.000,18.500
1183,alphabet,56.000,0.790,1.190,4.000,0.800,2.380
1184,bowl,424.000,31.600,1.735,5.579,1.105,3.011
1185,sugared,383.333,14.073,21.873,917.000,1.233,7.857
1186,macaroni,201.972,9.610,3.863,44.000,1.789,8.136
1187,natalplum,62.000,0.000,1.300,0.000,0.000,0.500
1188,sapodilla,83.000,0.000,1.100,0.000,5.300,0.440
1189,distilled,209.818,0.100,0.000,0.000,0.000,0.000
1190,lite,122.909,28.570,7.010,79.000,2.900,8.417
1191,lowlinolenic,892.000,0.000,100.000,0.000,0.000,0.000
1192,pam,792.000,0.000,78.690,0.000,0.000,0.260
1193,pan,317.000,21.860,13.519,15.556,2.000,9.449
1194,pao,129.000,3.030,6.980,26.000,1.500,9.760
1195,oil,671.274,16.700,70.601,766.000,10.700,44.500
1196,munch,513.500,29.885,28.910,12.000,3.250,9.925
1197,weed,148.000,0.000,2.740,0.000,7.850,11.710
1198,fruit,145.078,80.680,21.400,114.000,10.800,10.690
1199,abalone,147.000,0.000,3.770,89.500,0.000,18.365
1200,daiquiri,155.500,2.790,0.030,0.000,0.050,0.030
1201,chorizo,455.000,0.000,38.270,88.000,0.000,24.100
1202,lemon,210.469,37.800,23.900,221.000,10.600,20.900
1203,tradition,482.500,33.100,21.200,4.000,1.850,4.950
1204,flaked,402.667,36.750,28.893,71.000,4.800,7.660
1205,burrito,218.056,3.210,8.268,153.000,2.178,8.772
1206,pummelo,38.000,0.000,0.040,0.000,1.000,0.760
1207,ranch,225.500,4.126,52.030,19.500,9.300,6.032
1208,veal,198.784,1.330,67.830,3100.000,1.000,23.390
1209,gjetost,466.000,0.000,29.510,94.000,0.000,9.650
1210,bottle,359.833,5.490,39.660,0.667,0.000,0.257
1211,alfredo,535.000,5.400,36.350,56.000,2.000,15.320
1212,charged,44.000,11.250,0.000,0.000,0.000,0.000
1213,clod,172.581,0.000,7.517,73.581,0.000,24.518
1214,summer,426.000,20.430,37.910,89.000,8.500,19.430
1215,pineapplecoconut,113.000,0.000,2.600,0.000,0.700,0.000
1216,steamed,91.167,6.470,5.180,41.000,16.600,20.540
1217,fume,82.000,0.000,0.000,0.000,0.000,0.070
1218,babassu,884.000,0.000,100.000,0.000,0.000,0.000
1219,griddle,293.667,9.563,16.227,101.000,0.800,10.403
1220,nf,550.000,46.140,32.200,7.000,7.200,5.090
1221,glazed,338.900,35.110,18.525,60.700,1.380,12.072
1222,softserve,166.000,16.668,6.412,91.000,2.200,4.248
1223,polish,278.000,0.000,23.070,69.250,0.000,14.217
1224,flavor,279.307,80.500,100.000,105.000,11.400,7.247
1225,electrolyte,10.000,2.450,0.000,0.000,0.000,0.000
1226,cheeseflavor,517.667,63.540,31.078,5.000,3.683,6.085
1227,cilantro,24.000,3.560,0.260,0.000,2.950,1.065
1228,ediblepodded,44.667,3.603,0.287,0.000,2.917,3.190
1229,dipped,477.500,15.700,24.183,0.833,6.733,5.300
1230,mcdonald,240.230,43.210,12.625,173.000,1.107,8.554
1231,rose,162.000,2.580,0.340,0.000,24.100,1.600
1232,cayenne,318.000,10.340,17.270,0.000,27.200,12.010
1233,except,449.333,1.267,62.300,0.000,2.300,13.110
1234,venison,116.000,0.000,2.660,18.000,0.000,21.500
1235,hind,146.667,0.000,5.013,83.083,0.000,24.742
1236,pokeberry,21.000,1.067,0.400,0.000,1.567,2.400
1237,bolted,341.000,0.000,3.125,0.000,6.500,8.345
1238,anchovy,170.500,0.000,7.275,72.500,0.000,24.620
1239,grit,272.706,2.760,2.078,2.000,3.053,6.584
1240,yeastleavened,381.250,14.600,22.175,21.500,1.250,6.210
1241,amo,495.250,35.450,22.375,8.000,2.400,4.875
1242,teething,392.000,12.650,4.200,7.000,1.400,10.700
1243,splenda,336.000,80.330,0.000,0.000,0.000,0.000
1244,virginia,573.000,3.950,48.663,0.000,8.767,25.643
1245,dark,267.233,77.590,15.030,78.411,23.800,18.203
1246,supligen,101.000,0.000,3.070,0.000,0.000,3.500
1247,vacuum,81.400,2.424,0.440,0.000,1.960,2.258
1248,amp,24.000,6.040,0.040,0.000,0.000,0.125
1249,fryer,225.770,0.110,13.037,101.918,0.300,24.195
1250,swis,225.733,0.898,14.255,48.000,3.200,16.874
1251,enfamil,256.306,27.473,13.433,17.000,0.000,6.169
1252,clam,85.083,3.310,22.960,76.000,0.662,25.550
1253,fortune,378.000,45.420,2.700,2.000,1.600,4.200
1254,burdock,82.667,3.333,0.143,0.000,2.300,1.903
1255,fajita,94.000,1.430,3.170,47.000,0.400,10.710
1256,catjang,192.333,0.000,1.163,0.000,5.967,13.370
1257,miracle,84.000,10.300,2.700,9.000,1.900,0.200
1258,roll,271.982,56.320,9.228,98.000,7.700,11.773
1259,blackberry,57.800,9.320,0.546,0.000,3.400,1.004
1260,served,54.000,9.360,0.710,0.000,0.000,0.480
1261,gri,83.000,0.000,0.000,0.000,0.000,0.070
1262,reduced,255.831,59.000,54.890,2017.000,11.100,84.630
1263,burbot,102.500,0.000,0.925,68.500,0.000,22.035
1264,cisco,137.500,0.000,6.905,41.000,0.000,17.675
1265,teff,234.000,0.920,1.515,0.000,5.400,8.585
1266,cinnabon,307.667,24.033,7.367,9.333,2.000,5.233
1267,exposed,25.500,2.380,0.465,0.000,1.750,2.695
1268,naan,288.500,3.475,6.175,0.500,3.500,9.910
1269,walleye,106.000,0.000,1.390,98.000,0.000,21.840
1270,pickled,111.250,13.590,18.000,89.000,1.712,19.110
1271,dole,57.000,9.980,0.140,0.000,0.200,0.360
1272,lobster,105.250,0.000,1.265,108.250,0.000,20.632
1273,specified,319.000,0.000,28.000,255.000,0.000,14.200
1274,kaiser,293.000,1.770,4.300,0.000,2.300,9.900
1275,tube,341.000,0.700,30.600,160.000,0.100,14.200
1276,oilbutter,425.667,0.000,47.667,41.667,0.000,0.667
1277,nutty,448.000,28.050,19.800,0.000,9.100,7.950
1278,readytoeat,365.362,24.840,4.444,12.000,8.260,8.066
1279,noor,282.000,63.350,0.390,0.000,8.000,2.450
1280,isomil,237.000,24.257,12.887,0.000,0.000,5.780
1281,optima,386.000,25.000,8.920,7.000,5.100,16.190
1282,bluefish,141.500,0.000,4.840,67.500,0.000,22.865
1283,diced,92.400,9.230,2.508,55.000,1.700,7.642
1284,barbecueflavor,501.000,5.470,28.438,115.000,3.480,57.900
1285,wheat,328.718,31.800,100.000,9.000,42.800,10.625
1286,thymu,195.250,0.000,12.878,279.250,0.000,18.477
1287,power,363.000,30.070,3.110,0.000,5.700,14.150
1288,strained,64.506,5.367,7.900,63.000,1.180,14.070
1289,carcas,315.000,0.000,27.223,74.000,0.000,16.237
1290,stroganoff,122.500,2.040,3.900,14.500,0.700,4.950
1291,desiccated,556.000,43.170,45.963,0.000,5.867,4.473
1292,stone,570.000,0.000,48.000,0.000,9.300,17.810
1293,arroz,213.200,21.860,6.418,8.000,1.820,4.822
1294,cranberrygrape,56.000,0.000,0.100,0.000,0.100,0.200
1295,island,264.000,16.555,35.060,10.500,4.000,10.700
1296,shrimp,159.842,2.620,7.908,92.789,2.600,11.918
1297,chop,194.628,4.730,9.872,73.000,2.400,24.839
1298,pistachio,471.000,9.896,33.730,64.000,7.440,17.798
1299,snackwell,305.000,43.380,1.090,0.000,1.600,5.000
1300,chow,201.000,3.360,6.637,16.000,1.967,5.403
1301,mixed,187.650,42.310,56.170,479.000,11.400,15.346
1302,scrapple,213.000,0.200,13.870,49.000,0.300,8.060
1303,besan,387.000,10.850,6.690,0.000,10.800,22.390
1304,stripple,346.000,0.800,26.600,2.000,5.100,12.400
1305,celeriac,32.000,1.600,0.227,0.000,1.000,1.140
1306,rising,261.400,5.432,9.984,17.400,2.360,12.400
1307,seedles,157.200,32.522,0.258,0.000,1.960,1.632
1308,heated,169.736,14.840,8.419,57.340,3.200,17.925
1309,jellied,132.000,0.000,4.700,40.500,0.000,20.950
1310,leafportion,41.000,2.707,0.233,0.000,1.267,1.040
1311,yam,96.500,0.298,0.118,0.000,2.400,1.552
1312,jowl,655.000,0.000,69.610,90.000,0.000,6.380
1313,stickles,242.000,8.640,13.000,8.000,3.900,5.200
1314,kamut,234.500,5.455,1.480,0.000,7.700,10.125
1315,breyer,160.769,14.934,5.733,22.462,5.800,4.191
1316,cultured,135.000,4.073,11.783,52.000,0.000,3.012
1317,frybread,319.500,1.785,11.180,5.500,0.850,7.535
1318,strip,268.889,68.650,14.857,61.444,9.800,19.407
1319,start,240.348,23.192,11.223,32.000,5.800,5.621
1320,grated,302.750,6.200,19.909,88.000,4.900,10.681
1321,valencia,449.250,0.000,37.590,0.000,7.250,20.053
1322,lox,117.000,0.000,4.320,23.000,0.000,18.280
1323,valley,366.500,21.000,2.205,0.000,11.050,12.220
1324,fish,169.681,7.710,100.000,766.000,6.100,20.505
1325,spicy,159.400,1.677,26.100,53.000,2.520,7.978
1326,complete,296.333,11.610,2.700,12.000,17.300,8.390
1327,cardoon,19.667,0.000,0.107,0.000,1.667,0.740
1328,omelet,154.000,0.310,11.660,313.000,0.000,10.570
1329,cottage,80.889,2.477,2.103,8.667,0.600,11.288
1330,groat,219.000,0.450,1.665,0.000,6.500,7.555
1331,jerky,410.000,9.000,25.600,48.000,1.800,33.200
1332,spice,314.837,37.140,10.836,16.000,22.839,12.596
1333,rusk,407.000,0.000,7.200,78.000,0.000,13.500
1334,rush,415.000,28.750,12.500,6.000,12.500,25.000
1335,bolar,177.250,0.000,7.662,74.000,0.000,27.053
1336,pantothenic,25.000,5.030,0.080,0.000,0.000,0.250
1337,kellog,370.000,33.600,7.600,0.000,1.900,4.300
1338,tripe,86.600,0.000,3.056,130.800,0.000,13.250
1339,strawberry,229.255,17.803,18.500,114.000,10.200,3.672
1340,bouillon,438.000,17.360,13.890,13.000,0.200,16.700
1341,granolabar,443.300,19.592,17.175,36.000,4.883,8.855
1342,assu,884.000,0.000,100.000,0.000,0.000,0.000
1343,whiz,245.500,7.450,15.250,55.000,0.250,14.150
1344,ricebased,506.000,3.000,25.580,0.000,13.200,17.310
1345,celestial,517.000,9.750,29.810,0.000,10.900,4.130
1346,russet,88.000,0.850,0.105,0.000,1.800,2.385
1347,gumbo,47.167,1.640,1.098,4.500,0.867,2.225
1348,taquito,285.500,1.480,12.665,12.000,2.850,9.305
1349,surimi,98.500,6.250,0.810,27.000,0.500,11.990
1350,deer,153.333,0.000,3.802,84.222,0.000,27.861
1351,deep,403.250,2.375,100.000,14.000,1.738,8.811
1352,watcher,241.000,16.800,6.900,47.000,2.100,4.400
1353,interstate,273.000,11.060,4.150,0.000,2.600,8.070
1354,guarana,4.000,0.000,0.000,0.000,0.000,0.000
1355,cream,162.504,80.540,37.000,196.000,9.800,2.959
1356,maitake,31.000,2.070,0.190,0.000,2.700,1.940
1357,arrowhead,85.000,0.000,0.163,0.000,0.000,4.770
1358,buttery,469.333,8.600,41.180,1.000,1.800,5.500
1359,diarrhea,66.000,6.660,3.600,0.000,0.700,1.760
1360,graduate,323.250,32.977,28.570,13.000,7.800,14.290
1361,field,358.000,20.500,0.700,0.000,5.000,9.400
1362,puppy,316.500,2.915,13.375,22.500,2.850,6.930
1363,polar,130.000,0.000,3.100,0.000,0.000,25.600
1364,pear,72.711,62.200,0.900,0.000,2.151,6.600
1365,terra,517.000,9.750,29.810,0.000,10.900,4.130
1366,included,197.857,4.299,1.969,5.571,1.957,6.019
1367,poptart,397.917,29.633,10.558,3.000,1.771,4.312
1368,mayo,202.000,5.500,17.800,22.500,1.050,0.400
1369,sardine,431.667,0.430,100.000,304.333,0.100,15.160
1370,masa,379.667,1.610,12.345,27.000,4.633,8.895
1371,caribou,239.636,0.000,84.400,62.273,0.100,24.116
