munch	set(['28034', '19295'])
dry	set(['20446', '19710', '06118', '06115', '15026', '11380', '15204', '11382', '15206', '11384', '15200', '11386', '15202', '15209', '15208', '18420', '06982', '06983', '06981', '19371', '08159', '19372', '12063', '20046', '20048', '08160', '01091', '01090', '01093', '01092', '01154', '01155', '19199', '18376', '32011', '18375', '18071', '32018', '15102', '15100', '42055', '18084', '18085', '18087', '18081', '18082', '18088', '15205', '06720', '19195', '20622', '18107', '15201', '18108', '11385', '15203', '03996', '11387', '15037', '15034', '12085', '12122', '19188', '19189', '18453', '06094', '19187', '19184', '19185', '19246', '20133', '15241', '12563', '15244', '15247', '15246', '19331', '19330', '19333', '19332', '08116', '20009', '02073', '02076', '02074', '02075', '08200', '19244', '19247', '08576', '19241', '19240', '08573', '18339', '18332', '18333', '06076', '06075', '43544', '18637', '19231', '19232', '18632', '01204', '15067', '18022', '18023', '07077', '18142', '07071', '18144', '07072', '42285', '03205', '03194', '15040', '15047', '03193', '03190', '08690', '18566', '08120', '15191', '06101', '15216', '15217', '15214', '15215', '15212', '15213', '15210', '15211', '01014', '15218', '15219', '06583', '18419', '18412', '19209', '19208', '19203', '19202', '19205', '19204', '19207', '19206', '20420', '20409', '12652', '19704', '19705', '19706', '19702', '19703', '19708', '19709', '08444', '07037', '08449', '18180', '15133', '08436', '31019', '18117', '18114', '18112', '15009', '07076', '14536', '06528', '12132', '12135', '20124', '20126', '20120', '20122', '18079', '27035', '15207', '19322', '19323', '19320', '19321', '19324', '19325', '20012', '15105', '08580', '06960', '18447', '06969', '44258', '44259', '15223', '08562', '18300', '08402', '08568', '08569', '15225', '20068', '08104', '08106', '08100', '16111', '08102', '08314', '08316', '18011', '18010', '18152', '43078', '15195', '15194', '15197', '15196', '15058', '15190', '15193', '15192', '15056', '15199', '15198', '15052', '12143', '06959', '06958', '06489', '06483', '06481', '06480', '44260', '06957', '19219', '22960', '43216', '20114', '20116', '20111', '08702', '08703', '15221', '15220', '08704', '15224', '18610', '19173', '19172', '19171', '19170', '19177', '19176', '19175', '08680', '19212', '19213', '08689', '18615', '08130', '19214', '08132', '12643', '20028', '08221', '08225', '08228', '08142', '08144', '44061', '08452', '08450', '08451', '18196', '15086', '18295', '18297', '18291', '18290', '18292', '18299', '12037', '01227', '43529', '15016', '15032', '20099', '20091', '15262', '22959', '15061', '15063', '15069', '18275', '18642', '18092', '08410', '08411', '18097', '08417', '43401', '08489', '08488', '08172', '08177', '19310', '19319', '19318', '12536', '18161', '12537', '08096', '08094', '08092', '15118', '08090', '32021', '19860', '15116', '15111', '15113', '11378', '20499', '07941', '15222', '19859', '35040', '12585', '15029', '15187', '08561', '15188', '15189', '12152', '06124', '19198', '06126', '06127', '06120', '06122', '06123', '19191', '19190', '06128', '19194', '06081', '06080', '20109', '20107', '20105', '20101', '19165', '19166', '15239', '15235', '15237', '19169', '15232', '15233', '18614', '08128', '18603', '08124', '08122', '08691', '08692', '08693', '12632', '12635', '14631', '06494', '08231', '06498', '15098', '15092', '18284', '18280', '18289', '01212', '19223', '19222', '19221', '19220', '20301', '18135', '18131', '03211', '03212', '03185', '03184', '03186', '03181', '15071', '19121', '19122', '19123', '03189'])
vinegar	set(['02069', '02068', '02053', '04135', '02048'])
brownrice	set([])
ate	set([])
porkchops	set([])
diner	set([])
persimmon	set(['09263', '09264', '09265'])
salami	set(['07229', '07003', '07941', '07226', '07230', '07228', '07913', '07002', '07227', '07926', '07068', '07069', '07266', '07267', '07071', '07070', '07072'])
lychee	set([])
rosemary	set(['02036', '02063'])
strudel	set(['18354', '28163', '28008'])
raisin	set(['08284', '08696', '08697', '08261', '08245', '18191', '18377', '09297', '08189', '18356', '09298', '09299', '08702', '18431', '08700', '08484', '08708', '08247', '08218', '18246', '18247', '18388', '19406', '28072', '08380', '18047', '18048', '18184', '08133', '08132', '08228', '18414', '08599', '42265', '19127', '18538', '08220', '28048', '08436', '19149', '43100', '28041', '19022', '08061', '08060'])
candyapple	set([])
meatloaf	set(['43137'])
shrimp	set(['15151', '15150', '15153', '15152', '36006', '06456', '36016', '06056', '15149', '06256', '06342', '36001', '15270', '15271', '21059', '36605', '36612', '36620', '21056'])
takeout	set([])
hummus	set([])
cashew	set(['12085', '12086', '12087', '12588', '12088', '28124', '12586', '12585'])
seeds	set([])
lasagna	set(['22977', '03043', '22956', '36041', '32010', '32017', '22916', '32019', '16594', '22915', '36042', '22910'])
cinnamon	set(['08539', '18964', '18479', '18478', '08128', '08129', '08694', '28263', '08353', '08579', '08263', '28183', '18494', '18358', '18356', '18357', '08661', '08665', '08649', '08666', '28011', '08124', '08642', '18997', '18635', '28105', '18246', '18247', '18244', '28101', '08210', '08602', '08215', '08696', '08702', '08681', '21388', '08561', '18173', '08688', '08272', '08568', '18104', '18107', '18108', '08616', '08611', '08494', '28007', '08595', '28167', '02010', '08590', '18431', '18430', '08639', '18417', '08678'])
eggplant	set(['11209', '11210', '43146', '11783'])
buckwheat	set(['20010', '19052', '18295', '20011', '19817', '20009', '20008'])
popcorn	set(['21422', '25001', '43572', '42259', '19040', '25026', '04648', '19807', '19806', '19038', '19039', '19036', '19436', '19034', '19035', '25000', '25014'])
cookie	set(['18532', '18193', '03206', '18158', '18159', '18528', '18152', '18150', '18151', '18156', '18157', '18154', '18533', '28054', '28055', '28056', '28057', '28052', '28053', '28058', '28059', '28106', '28107', '18421', '28102', '28103', '28218', '28219', '28216', '28217', '28214', '28212', '28213', '28108', '28109', '18167', '18166', '18165', '18164', '18163', '18529', '18161', '18160', '18562', '18630', '18168', '18190', '08017', '28045', '18191', '18524', '28269', '28027', '28029', '28028', '28043', '28073', '28132', '28229', '28228', '28044', '28223', '28221', '28220', '28227', '28226', '28225', '18170', '18171', '18172', '18173', '18174', '18175', '18176', '18177', '18178', '18179', '28262', '18377', '18537', '28131', '18378', '18993', '28032', '28033', '28030', '28031', '28036', '28037', '28034', '28035', '28039', '42183', '18185', '28130', '28128', '28129', '28124', '28125', '28126', '28127', '28120', '28121', '28122', '18619', '18994', '18189', '18188', '18991', '18155', '18184', '18187', '18186', '18180', '18183', '18182', '19160', '19161', '28083', '28082', '28081', '28080', '28151', '28150', '01239', '28119', '18198', '18199', '18196', '18192', '18210', '18213', '18212', '28118', '21339', '18422', '18423', '28093', '28096', '28098', '21030', '18208', '18209', '18206', '18204', '18205', '18202', '18200', '18201', '28300', '28301', '28302', '28267', '28264', '28309', '28261', '18513', '28194', '28211', '28061', '28060', '28062', '21029', '28289', '28173', '28278', '28279', '28165', '28114', '28270', '28169', '28272', '28273', '28275', '28276', '28277', '28116', '28078', '28079', '18527', '28077', '28074', '28075', '28072', '18522', '28294', '18651', '28293', '28290', '28291', '18544', '18547', '18541', '18540', '28298', '28299', '03214', '03213', '28041', '21413', '28040', '28199', '28198', '28195', '28047', '28197', '28196', '18535', '18538', '18539', '28048', '28209', '28208', '28113', '28271', '28205', '28204', '28207', '28206', '28201', '28200', '28203', '28202'])
pomelo	set([])
spices	set([])
kettle	set([])
bran	set(['08247', '08029', '43495', '04037', '08005', '08696', '08352', '08261', '18059', '08244', '18037', '20015', '18038', '20077', '08700', '08484', '20033', '18050', '20034', '08023', '08363', '08504', '18388', '08236', '18384', '08380', '43393', '08240', '08018', '18049', '18284', '18283', '18345', '18007', '18066', '20060', '08599', '43245', '08231', '08061', '08060'])
drink	set(['14651', '14030', '14616', '14323', '14341', '14038', '14119', '14640', '14615', '14041', '14641', '14268', '14269', '14240', '14241', '14264', '14026', '14617', '14267', '14611', '14610', '14262', '14263', '43404', '42055', '14061', '14436', '43345', '14277', '14630', '14043', '14154', '14636', '14060', '14613', '14297', '14296', '14612', '14022', '14625', '14626', '14627', '14646', '14647', '14645', '14614', '14607', '14648', '14628', '14629', '14633', '14238', '14334', '14318', '14608', '14609', '43369', '14408', '14316', '14317', '14310', '14311', '14312', '14409', '14426', '14427', '14424', '14425', '14422', '14423', '14327', '14541', '14405', '14406', '14407', '14632', '14639', '14282', '42270', '14156', '14619', '14021', '14450', '14618'])
patty	set(['21101', '05670', '16607', '07967', '07966', '07965', '10146', '07901', '21108', '16608', '23559', '07907', '22118', '16587', '21202', '21111', '07953', '23578', '23579', '21092', '21089', '23574', '23573', '16601', '05664', '43137', '21100', '21400', '16557', '07063', '21109', '07064', '21397', '23563', '28097', '16588', '05292', '21107', '21112', '21113', '21110', '23474', '23473', '05667', '21114', '21115', '23507', '23506', '21026', '23503', '23501', '23478', '05324', '21096', '16551', '21094', '23569', '23479', '21091', '21090', '22122', '23564', '35172', '21099', '21098', '21097', '05323', '21410', '42173', '13496', '13317', '21389', '23558', '13497', '21095', '21395', '21396', '16593', '21390', '21393', '21093', '21398', '21399', '23568'])
feed	set(['03857', '03825', '03992', '03864'])
greenbean	set([])
dine	set([])
anise	set(['02002'])
sorbet	set([])
guacamole	set(['21088'])
kebab	set([])
mochi	set([])
soybeans	set([])
radish	set(['11637', '11676', '11429', '11850', '43142', '11432', '11430', '11431'])
sherbet	set(['19097'])
supper	set(['22950', '22944', '22945', '22946', '22947', '22943', '22948', '22949'])
blackbeans	set([])
veal	set(['17208', '17000', '17216', '17272', '17273', '17270', '17271', '17276', '17277', '17274', '17275', '17278', '17279', '17207', '17198', '17155', '17154', '17218', '17089', '17088', '17223', '17222', '17140', '17141', '17142', '17143', '17092', '17093', '17090', '17091', '17096', '17097', '17094', '17095', '17098', '17099', '17139', '17138', '17429', '17428', '17131', '17130', '17133', '17132', '17427', '17426', '17137', '17136', '17434', '17435', '17436', '17437', '17430', '17431', '17432', '17433', '17203', '17202', '17438', '17204', '17128', '17129', '17122', '17123', '17120', '17121', '17126', '17127', '17124', '17125', '17135', '17107', '17134', '17425', '17424', '17117', '17116', '17115', '17114', '17113', '17112', '17111', '17110', '17351', '17350', '17119', '17118', '17100', '17101', '17102', '17103', '17104', '17105', '17106', '17349', '17108', '17109', '07006', '03005', '17217', '17212', '17213', '17197', '17194', '17193', '17219', '17190', '07910', '17352', '17188', '17189'])
chutney	set([])
elderberry	set(['09088'])
primerib	set([])
lettuce	set(['21486', '21487', '21230', '21126', '21125', '21124', '21082', '21210', '21213', '21214', '21462', '21461', '36060', '36061', '21490', '21260', '21261', '21262', '11257', '11252', '11253', '11250', '11251'])
blackeyedpeas	set([])
pepperoni	set(['21485', '21148', '21275', '21274', '21146', '07278', '21280', '21281', '21284', '21288', '21303', '21302', '21492', '21491', '22903', '07057', '21478', '21477', '21476', '21291', '21297', '21296'])
herbs	set([])
parsnip	set(['11298', '11299', '11808'])
oregano	set(['02027'])
salsa	set(['06601', '28020', '16203', '06605', '06178', '27030', '06164', '27053', '27052', '27047', '06597', '06598', '27028', '27029', '27054'])
bland	set([])
blacktea	set([])
calorie	set(['25052', '04686', '14633', '33874', '33875', '28250', '28251', '43401', '28114', '08669', '03984', '19704', '42116', '19703', '42140', '28120', '28121', '28122', '28123', '14422', '14423', '42171', '08651', '42309', '19176', '28115', '42158', '28117', '28116', '19175', '28113', '42151', '28119', '28118', '42157'])
sugar	set(['19260', '19265', '06618', '08411', '18494', '08489', '08642', '08641', '19335', '42074', '28210', '09013', '09012', '44110', '14063', '14061', '28025', '19895', '28229', '28228', '19890', '19891', '19892', '28223', '28222', '28221', '28220', '28227', '28226', '28225', '28224', '19362', '18478', '09310', '19873', '19871', '19874', '14647', '01242', '01243', '28230', '28231', '08704', '42185', '14196', '09260', '09261', '08628', '16149', '09033', '08680', '08686', '09034', '08130', '14043', '19217', '43100', '28183', '28007', '08639', '08635', '18272', '14224', '19340', '08459', '25035', '18479', '14630', '14637', '14636', '19916', '09248', '44074', '09247', '18208', '18209', '18206', '08469', '18205', '14628', '19334', '19336', '19908', '19909', '14149', '19906', '19907', '14548', '28173', '28301', '28268', '18513', '08579', '09293', '09292', '14156', '28278', '28279', '14357', '08586', '28277', '18204', '16200', '28293', '19883', '19882', '19881', '19880', '19884', '18202', '14370', '14371', '28232', '19436', '19439', '19333'])
pea	set(['06730', '11809', '16102', '11324', '06738', '06449', '11308', '11323', '11326', '11327', '43312', '11316', '11300', '11301', '11302', '11303', '11304', '11305', '11306', '42279', '06193', '06192', '16086', '06050', '06051', '11814', '11815', '11816', '11817', '11810', '11811', '11812', '11813', '16085', '11818', '06965', '06451', '06380', '06459', '16101', '16386', '06623', '16402', '11318', '11317', '03122', '03121', '11313', '11312', '11311', '11310', '06249', '11322', '06049', '06361'])
capers	set([])
cornmeal	set(['35234', '20325', '20322', '20323', '20320', '20020', '20023', '20422', '20025', '20522', '20022', '35131', '20024', '35137', '35136', '20324', '36415'])
lime	set(['06601', '19280', '09161', '09160', '09159', '16258', '27029'])
yam	set(['11258', '11259', '11601', '11602', '11897', '11927'])
fed	set([])
teriyaki	set(['22958', '06189', '06112'])
papaya	set(['09228', '09229', '09226', '03162', '09325', '03160'])
breadfruit	set(['09059', '12158', '12003', '12001'])
beef	set(['23612', '13357', '23519', '13356', '13809', '23363', '23362', '23448', '23449', '23367', '23366', '23365', '23364', '23442', '23443', '23440', '06116', '23446', '23447', '23444', '06505', '23172', '06471', '23173', '23049', '07270', '13805', '13020', '06595', '36060', '23047', '19407', '23176', '07945', '06475', '13166', '06980', '13165', '13597', '23513', '13498', '23042', '03042', '23588', '03044', '03045', '23125', '23515', '23135', '06437', '06434', '06985', '06432', '23516', '23517', '23626', '23104', '13401', '13499', '13883', '23598', '23481', '13807', '23361', '06026', '23360', '13786', '23220', '13019', '07068', '07042', '07043', '13452', '23127', '21087', '13888', '13450', '21068', '13408', '21066', '13426', '13425', '13424', '13423', '13422', '13421', '13420', '07065', '23126', '07062', '07941', '13492', '23445', '13904', '13905', '13906', '13907', '13900', '13901', '07226', '13868', '13867', '13866', '13865', '13864', '13908', '13862', '13861', '13860', '22908', '23098', '23549', '23091', '23090', '23093', '23092', '23095', '22905', '23097', '23096', '13438', '13339', '13338', '13439', '13813', '13332', '13331', '13330', '13337', '23251', '13335', '13334', '23064', '23065', '23066', '23067', '23060', '23061', '23062', '23063', '23147', '23146', '13055', '23143', '23142', '07279', '23140', '23327', '23326', '23123', '23324', '23323', '23322', '23321', '23320', '06091', '13878', '06097', '13956', '23248', '23249', '13493', '23244', '23245', '23246', '23247', '23240', '23241', '23242', '23243', '23258', '13825', '23175', '23392', '23393', '23390', '23391', '42129', '23394', '23395', '23398', '23399', '13800', '06387', '23298', '06327', '36061', '13954', '06389', '23433', '23432', '23431', '23430', '23437', '23436', '23435', '23434', '06472', '23439', '23438', '06476', '13649', '13648', '13885', '13884', '13887', '13886', '13881', '13880', '13935', '07272', '06982', '23584', '13889', '23228', '13417', '23521', '23229', '22928', '07202', '23301', '06978', '07008', '23604', '23055', '13818', '23605', '13952', '07001', '07002', '07274', '07004', '23606', '13497', '23222', '23607', '21064', '23223', '13500', '13501', '13502', '23189', '23601', '06076', '23221', '06072', '06742', '06070', '06071', '23631', '23603', '06375', '23630', '07200', '23633', '23303', '03041', '23225', '13333', '13824', '13948', '13949', '07918', '03043', '23059', '23058', '23509', '23508', '13940', '23506', '23057', '13943', '23503', '23502', '23501', '23052', '13474', '13232', '07201', '06075', '13470', '07078', '21265', '13378', '07075', '07077', '07076', '13373', '13372', '07073', '07072', '13490', '42262', '21063', '23051', '23200', '23201', '23202', '13830', '13831', '13832', '13833', '23325', '13838', '13839', '23590', '23591', '23619', '23618', '23594', '23595', '23596', '27045', '22939', '23599', '23611', '23610', '23617', '23616', '23615', '23614', '13829', '42161', '13419', '22929', '23552', '21260', '13910', '13350', '21261', '23114', '13488', '23116', '23117', '23110', '23111', '23299', '23656', '13481', '23296', '13483', '13482', '13485', '13484', '13487', '13486', '23477', '23476', '23475', '23474', '23473', '23472', '23471', '23470', '23121', '07205', '23291', '23479', '23478', '23275', '23274', '23277', '23276', '23378', '23379', '23273', '23272', '23374', '23375', '23376', '23650', '23370', '23371', '23372', '23373', '13156', '13098', '13150', '13096', '13097', '13095', '23404', '13158', '13395', '35186', '13396', '13391', '13390', '13393', '13392', '23582', '13399', '13398', '23528', '13598', '23646', '13870', '06409', '23080', '22402', '23250', '23161', '23081', '23160', '06032', '13882', '06457', '23163', '13329', '13023', '23507', '23647', '07924', '36603', '23054', '23409', '04606', '13828', '23164', '23056', '23167', '07037', '07039', '07038', '23166', '23050', '23425', '23169', '13946', '23168', '13430', '13432', '32007', '32000', '32001', '13436', '23356', '06324', '13491', '23458', '06241', '13496', '06329', '13477', '13494', '21080', '07928', '23369', '13971', '13970', '13973', '23557', '23129', '23128', '23659', '23658', '13979', '23124', '23655', '23654', '23653', '23120', '23651', '23122', '13324', '13325', '23088', '13327', '13320', '13321', '13322', '13323', '23082', '23083', '13285', '13284', '23086', '23087', '23084', '23085', '23600', '23162', '13449', '13448', '13445', '13444', '13447', '13446', '13441', '13440', '13443', '13442', '23158', '23159', '23358', '03003', '23150', '23053', '23152', '23359', '23154', '23155', '23156', '23157', '23330', '23331', '23332', '23333', '06146', '06147', '23336', '06145', '23338', '23339', '23239', '23238', '07244', '07242', '07243', '07241', '23231', '23230', '23233', '23232', '23235', '23234', '23237', '23236', '23309', '23153', '07083', '03049', '23308', '23461', '23329', '07917', '06444', '23589', '23576', '13428', '13650', '23344', '23347', '23346', '23428', '23429', '23343', '22529', '23424', '23334', '23426', '23427', '23420', '23421', '23422', '23335', '13896', '13897', '13894', '13895', '13892', '13893', '13890', '13891', '23577', '23337', '13898', '13899', '23307', '13827', '23466', '19002', '04001', '23554', '23302', '07247', '13826', '13148', '13149', '13934', '43417', '13808', '13834', '13975', '23048', '13835', '23046', '23511', '23044', '23045', '23514', '23043', '23040', '23041', '13368', '13369', '21082', '13402', '13405', '13404', '13407', '07069', '13360', '13361', '13362', '13363', '13364', '13365', '13366', '13367', '13386', '07915', '23105', '13387', '13801', '23609', '23328', '13803', '23377', '13382', '13802', '13383', '13841', '13840', '13843', '13842', '13845', '13844', '13847', '13846', '13849', '13848', '23608', '06749', '23657', '23569', '23568', '13928', '13929', '13926', '13927', '13924', '13925', '13922', '13923', '13920', '13921', '13319', '13318', '23638', '13317', '23592', '23288', '23289', '07925', '23593', '23165', '07922', '07921', '07920', '23280', '23281', '23282', '23283', '23284', '23285', '23286', '23287', '23460', '06958', '13914', '23463', '23464', '23465', '14114', '23467', '23468', '23469', '13913', '23597', '23660', '23266', '23267', '23264', '23265', '23262', '23263', '23260', '23261', '23139', '23300', '04550', '13974', '23305', '13937', '23268', '23269', '23567', '13902', '13147', '13912', '13931', '07227', '13930', '13371', '13228', '13384', '03287', '13933', '13380', '13381', '13326', '13932', '13227', '13389', '13863', '13909', '23415', '23414', '23417', '23416', '23411', '23410', '23413', '23412', '06415', '07959', '23419', '23418', '06009', '06008', '23279', '23099', '23652', '13821', '23278', '07022', '07023', '07020', '07021', '07912', '21125', '23304', '03290', '13523', '21486', '23531', '23636', '23541', '13916', '07913', '23540', '06317', '23583', '23602', '23115', '23547', '06251', '23094', '13977', '23137', '23545', '23102', '13972', '06547', '13955', '23648', '13963', '23523', '13961', '23525', '13967', '23558', '13965', '23136', '23107', '13968', '13969', '23132', '23133', '23130', '23131', '13351', '23297', '13353', '13352', '13355', '13354', '07091', '07090', '13359', '13358', '13293', '13294', '23295', '42241', '13596', '13595', '23294', '23559', '13459', '13456', '23293', '13454', '13455', '13871', '13453', '23405', '23292', '23002', '23003', '23000', '23001', '23006', '23007', '23004', '23005', '23341', '23008', '23290', '07916', '23340', '13791', '13795', '13797', '13796', '13799', '13798', '13872', '23342', '06170', '23183', '23182', '23181', '23180', '23187', '23186', '23185', '23184', '23635', '23634', '23637', '23188', '23226', '23227', '23224', '23632', '13819', '13873', '23349', '23348', '13957', '03002', '23423', '13067', '13816', '23149', '13874', '13066', '23134', '23148', '07956', '13065', '23459', '23357', '23354', '23355', '23352', '23353', '23350', '23351', '23451', '23450', '23453', '23452', '23455', '23454', '23457', '23456', '13070', '23144', '13875', '13328', '23068', '23112', '13370', '23069', '23141', '23565', '23271', '06997', '13814', '23270', '13876', '07954', '23113', '03055', '03054', '03053', '03052', '06426', '13069', '23564', '13068', '13815', '13903', '13877', '21076', '13377', '21071', '21070', '23441', '13451', '13001', '13000', '13002', '13812', '23079', '23078', '23073', '23072', '23071', '23070', '23077', '23076', '23075', '23074', '23566', '13413', '13410', '13411', '13416', '23480', '13414', '13415', '21075', '13418', '07050', '07057', '07056', '21073', '21072', '13375', '07007', '23462', '13495', '13520', '23561', '23195', '13823', '13810', '21086', '13879', '07237', '13853', '13850', '13851', '07233', '07940', '13854', '13855', '06739', '13858', '13859', '23560', '13817', '03047', '13919', '13918', '13811', '23578', '23579', '22917', '21210', '23574', '23575', '23572', '23573', '23570', '23571', '42188', '13394', '21067', '23563', '23368', '07931', '23170', '23171', '07934', '23177', '23174', '07937', '23178', '23179', '23119', '23345', '23562', '23253', '23252', '23318', '23319', '23257', '23256', '23255', '23254', '23312', '23313', '23310', '23311', '23316', '23317', '23314', '23315', '13804', '13985', '13980', '13981', '13982', '13983', '23381', '23380', '23383', '23382', '23385', '23384', '23387', '23386', '23389', '23388', '13231', '13236', '13235', '13852', '23581', '16527', '23192', '23629', '06733', '23406', '23407', '32009', '06398', '23402', '23403', '23401', '06461', '13856', '13478', '23624', '23408', '13857', '23197', '07231', '23089', '23190', '23191', '16007', '13479', '23621', '13047', '23397', '23151', '07019', '23649', '07016', '07015', '13806', '13519', '13822', '06061', '13820', '06044', '43384', '43432', '13869', '23533', '23109', '23108', '23536', '13959', '13958', '23103', '07900', '23101', '23100', '07905', '23106', '13951', '13950', '13342', '13343', '13340', '13341', '13346', '13347', '13344', '13345', '07088', '13348', '13911', '13469', '13468', '23138', '13463', '13917', '13460', '13467', '13466', '13465', '13464', '13388', '23640', '13915', '23039', '23038', '23037', '23036', '23035', '23034', '23033', '23032', '23031', '23030', '23217', '23216', '23215', '23214', '23213', '23259', '06388', '13788', '23219', '23218', '23587', '23586', '23585', '13473', '23198', '23199', '23628', '23580', '23194', '23627', '23196', '23625', '23622', '23623', '23620', '23193', '13647', '23613', '36403', '42179', '23118'])
spinach	set(['11802', '11801', '20095', '20096', '11986', '20112', '22994', '21500', '20111', '11464', '11461', '11463', '11854', '11855', '11856', '20126', '20127', '11274', '11275', '11276', '11277', '03127', '11658', '11458', '11459', '11457'])
broccoli	set(['11094', '11095', '11096', '11097', '11090', '11091', '11092', '11093', '06546', '06014', '06392', '11740', '11741', '11742', '11743', '11744', '06333', '03298', '21133', '06215', '22535', '06209', '03959', '06584', '06589', '11739', '11969'])
brisket	set(['13975', '23659', '23658', '13950', '13368', '13369', '23448', '23449', '13346', '23595', '23596', '23401', '23613', '23634', '23615', '23632', '13023', '23403', '13803', '13367', '13485', '13165', '13904', '23660', '13804', '13805', '13808', '23451', '23450', '13807', '13806', '13372', '13371', '13370', '13597', '13596', '13595', '23399', '13343', '13983', '23402', '13055', '13347'])
licorice	set([])
parsley	set(['02029', '11297', '11625'])
fast	set(['23465', '23468', '23406', '17388', '17418', '17419', '17386', '23439', '17384', '23446', '19896', '23454', '23397', '19252', '23470', '23433', '23432', '23430', '17409', '17405', '17407', '17406', '17400', '17396', '23422', '17398', '17081', '17083', '17361'])
aspic	set([])
potroast	set([])
uglifruit	set([])
marshmallow	set([])
horseradish	set(['02055'])
beet	set(['11735', '11087', '03098', '11605', '11734', '11736', '11082', '11081', '11080', '11609', '11086', '11084'])
refrigerator	set([])
crab	set(['15142', '15143', '15140', '15141', '15227', '15226', '15144', '21046', '06034', '15139', '15138', '15137', '15136'])
greens	set([])
cauliflower	set(['11965', '11137', '11136', '11135', '11967', '11762', '11983', '11761', '11968', '11138'])
unleavened	set(['36415'])
fry	set(['11411', '11412', '36014', '21247', '36007', '18364', '18970', '04653', '18450', '36002', '21238', '36607', '04649', '28295', '36610', '18363', '18449', '21249'])
nourish	set(['08702', '08703', '08704'])
bitter	set(['11025', '11024', '11023', '11022', '11711', '11710'])
blueberry	set(['08538', '18477', '18476', '19327', '18294', '25018', '16257', '28018', '28164', '08487', '18978', '18938', '18939', '03165', '35017', '18507', '44158', '08603', '18386', '09053', '18306', '18305', '03164', '08673', '09050', '08689', '09052', '09055', '18566', '35155', '09054', '08192', '08617', '09163', '18362', '18999', '18940', '43537', '28009', '28003', '09352', '09353', '18278', '18277', '18275', '18274'])
ketchup	set([])
grated	set(['12176', '12115', '12117', '12118', '01032', '18079', '18376', '01204'])
kiwi	set(['14618', '14609'])
walnut	set(['08646', '08690', '04528', '08228', '12154', '12155', '12156'])
creamcheese	set([])
spicy	set(['28243', '22993', '31017', '21418', '31013', '06398', '22123', '21314', '16204', '16593'])
stomach	set(['10863', '10119'])
stirfry	set([])
mushroom	set(['06444', '06443', '06442', '11267', '06487', '06231', '11240', '06547', '06355', '11989', '11265', '11987', '06121', '11269', '11268', '21500', '11263', '11261', '11260', '06339', '06338', '11243', '11264', '11939', '06968', '06549', '16552', '06726', '06147', '06122', '06042', '06149', '11266', '11950', '11238', '11998', '06220', '06003', '32023', '06457', '06182', '11993', '11992', '06438', '06988', '06043', '11551', '06221', '11798', '06322', '11239', '06240', '06229', '06224', '11797', '06214', '27013', '27034', '06044', '06232', '06243', '06978'])
ice	set(['19281', '19280', '19283', '14423', '19217', '28179', '19387', '19873', '43514', '14137', '18522', '14601'])
fire	set(['18981'])
nibble	set([])
cobbler	set(['03227', '03228', '03222'])
savory	set(['06447', '06441', '28191', '02039', '16584', '06985', '22948', '06439'])
tangerine	set(['09219', '09218', '09223', '09220', '09221', '09383'])
flax	set(['28041', '08560', '08656', '04673'])
oil	set(['19710', '42289', '01068', '04513', '04648', '01060', '04642', '19810', '04646', '04645', '04644', '43566', '32021', '15088', '35014', '04654', '04026', '04656', '04657', '04650', '04651', '04652', '04653', '04658', '04659', '04707', '12637', '15119', '04700', '04701', '35084', '04145', '04146', '12065', '04708', '12665', '12538', '04055', '12144', '04053', '04030', '04549', '04034', '04624', '04037', '04629', '04541', '04543', '04544', '04545', '35042', '04643', '12567', '04135', '12586', '15185', '15183', '01003', '19705', '19706', '42116', '01067', '19708', '04633', '04631', '04634', '35057', '04518', '11956', '12644', '04044', '04047', '04042', '04534', '04536', '04531', '04530', '04532', '04128', '12086', '42256', '15124', '04620', '44005', '12738', '04685', '04684', '04683', '15002', '04528', '04529', '12638', '04058', '12737', '04677', '12038', '42231', '12565', '25026', '04038', '12138', '28149', '04628', '12137', '21138', '31022', '04612', '04613', '04614', '04690', '04693', '04694', '04697', '01059', '04699', '04511', '04510', '04517', '04516', '04515', '04514', '04593', '04592', '04591', '04590', '04594', '42158', '42157', '04506', '04501', '04502', '35164', '04669', '04668', '04665', '04664', '04661', '04660', '04663', '04662', '04588', '04589', '04584', '04585', '04581', '04582', '04583', '35087', '25014', '04573', '04572', '35156', '04678', '04679', '35092', '01076', '19809', '04673', '04670', '04698', '11391', '35001', '04060', '04702'])
