munch	set(['28034', '19295'])
dressing	set(['04027', '21056', '04114', '04026', '21349', '43598', '04686', '04018', '43215', '43019', '01058', '04144', '04013', '04133', '04640', '04135', '04641', '04689', '04688', '43017', '43016', '43015', '04011', '42230', '04016', '04635', '04141', '43331', '04367', '04142', '04145', '42137', '42140', '04143', '04638', '21347', '21346', '04025', '04023', '04022', '04021', '04020', '04017', '04639', '04029', '04028', '04706', '04704', '04705', '04539', '04703', '21053', '21052', '04146', '21057', '42153', '21055', '21054', '04014', '43329', '42171', '42193', '42192', '42158', '42116', '04636', '04015', '04120', '43020', '43021', '42157'])
melon	set(['09185', '09184', '09183', '09181', '11594', '35132', '11593', '11895', '09451'])
cheddar	set(['18984', '18987', '18983', '01182', '06038', '43278', '28050', '28254', '01009', '28186', '28258', '28239', '18976', '43398', '42117', '01260', '01169', '01168', '01265', '07918', '06383', '07917', '08094', '28237', '22535', '25023', '28240', '19049', '28249', '22962', '01259', '28049', '03959', '42205', '01270', '42258'])
Frenchfries	set([])
rice	set(['20447', '16605', '20445', '20444', '20446', '19818', '19819', '06423', '06502', '19816', '22998', '42278', '42279', '03194', '03195', '19010', '18958', '18384', '19403', '20450', '19438', '20452', '20453', '08546', '32021', '03049', '06439', '06029', '20041', '20040', '20047', '20046', '20045', '20044', '43479', '06023', '06022', '42190', '42204', '08168', '19413', '19414', '20049', '19416', '19208', '20048', '06351', '25059', '04037', '08025', '32018', '19817', '20058', '20054', '20055', '20050', '20051', '20052', '20053', '36602', '36044', '08156', '19193', '19195', '19194', '22999', '20345', '42285', '16082', '32000', '32001', '32002', '32003', '03997', '18059', '08288', '14639', '20133', '06463', '06396', '06548', '20134', '06315', '19051', '19052', '19053', '20036', '20037', '03694', '43529', '08032', '08348', '03712', '20089', '20088', '06389', '20060', '06309', '06063', '08653', '03082', '03083', '20451', '20090', '20545', '22958', '43544', '19134', '08508', '08509', '36417', '03296', '03293', '22946', '22947', '03210', '03212', '22949', '03696', '36404', '36405', '36406', '36407', '20061', '36401', '43008', '08100', '08101', '08370', '08066', '08065', '08064'])
sauce	set(['06932', '06931', '06930', '06618', '22930', '27046', '27047', '22937', '22939', '27048', '27049', '06112', '06960', '06961', '21400', '06599', '21343', '09143', '03046', '32022', '22929', '22900', '06223', '06222', '06221', '06220', '06226', '06225', '06224', '06229', '06228', '06189', '36053', '36055', '36054', '21350', '21105', '06600', '32015', '22916', '22915', '22914', '22401', '22912', '22402', '11549', '06239', '06234', '06235', '06236', '06237', '06231', '06232', '06233', '36048', '36046', '36047', '06720', '16125', '16124', '16123', '32004', '32005', '21106', '22980', '22981', '27051', '06240', '16011', '16010', '36631', '36630', '27055', '09081', '06151', '06150', '06152', '27057', '15089', '11559', '01188', '22944', '22977', '22976', '22972', '06142', '06143', '21131', '21132', '21133', '21134', '06264', '16424', '16425', '27059', '27033', '06307', '06976', '06972', '06971', '43432', '43217', '06179', '06176', '06175', '04668', '21314', '21315', '21316', '22522', '21311', '21313', '22959', '36632', '21310', '11649', '01164', '06962', '21382', '06168', '06169', '06603', '06602', '06604', '06164', '06165', '06166', '06167', '11551', '27050', '11553', '11555', '11557', '27056', '06285', '27058', '11393', '11392', '21393', '06995', '06994'])
pot	set(['13373', '23612', '06441', '23103', '23102', '23104', '22906', '22528', '22529', '23082', '23083', '13285', '23081', '13812', '13813', '13810', '13811', '13383', '23631', '19130', '13384', '23633', '23112', '13381', '23614', '23111', '13380', '23602', '23603', '23132', '23133', '23131', '13647', '13809', '13378', '13377', '13375', '13293', '13294', '13649', '13648', '23099', '23000', '13814'])
butterbean	set([])
toffee	set(['19136', '19383'])
citron	set([])
